\textexclamdown,¡
\cyrchar\cyrsdsc,ҫ
\cyrchar\CYRTDSC,Ҭ
\cyrchar\cyrtdsc,ҭ
\cyrchar\CYRY,Ү
\cyrchar\cyry,ү
\cyrchar\CYRYHCRS,Ұ
\cyrchar\cyryhcrs,ұ
\cyrchar\CYRHDSC,Ҳ
\cyrchar\cyrhdsc,ҳ
\cyrchar\CYRTETSE,Ҵ
\cyrchar\cyrtetse,ҵ
\cyrchar\CYRCHRDSC,Ҷ
\cyrchar\cyrchrdsc,ҷ
\cyrchar\CYRCHVCRS,Ҹ
\cyrchar\cyrchvcrs,ҹ
\cyrchar\CYRSHHA,Һ
\cyrchar\cyrshha,һ
\cyrchar\CYRABHCH,Ҽ
\cyrchar\cyrabhch,ҽ
\cyrchar\CYRABHCHDSC,Ҿ
\cyrchar\cyrabhchdsc,ҿ
\cyrchar\CYRpalochka,Ӏ
\cyrchar\CYRKHK,Ӄ
\cyrchar\cyrkhk,ӄ
\cyrchar\CYRNHK,Ӈ
\cyrchar\cyrnhk,ӈ
\cyrchar\CYRCHLDSC,Ӌ
\cyrchar\cyrchldsc,ӌ
\cyrchar\CYRAE,Ӕ
\cyrchar\cyrae,ӕ
\cyrchar\CYRSCHWA,Ә
\cyrchar\cyrschwa,ә
\cyrchar\CYRABHDZE,Ӡ
\cyrchar\cyrabhdze,ӡ
\cyrchar\CYROTLD,Ө
\cyrchar\cyrotld,ө
\hspace{0.6em}, 
\hspace{1em}, 
\hspace{0.33em}, 
\hspace{0.25em}, 
\hspace{0.166em}, 
\hphantom{0}, 
\hphantom{,}, 
\hspace{0.167em}, 
\mkern1mu, 
\textendash,–
\textemdash,—
\rule{1em}{1pt},―
\Vert,‖
\Elzreapos,‛
\textquotedblleft,“
\textquotedblright,”
\textdagger,†
\textdaggerdbl,‡
\textbullet,•
\ldots,…
\textperthousand,‰
\textpertenthousand,‱
\backprime,‵
\guilsinglleft,‹
\guilsinglright,›
\mkern4mu, 
\nolinebreak,⁠
\ensuremath{\Elzpes},₧
\mbox{\texteuro},€
\dddot,⃛
\ddddot,⃜
\mathbb{C},ℂ
\mathscr{g},ℊ
\mathscr{H},ℋ
\mathfrak{H},ℌ
\mathbb{H},ℍ
\hslash,ℏ
\mathscr{I},ℐ
\mathfrak{I},ℑ
\mathscr{L},ℒ
\mathscr{l},ℓ
\mathbb{N},ℕ
\cyrchar\textnumero,№
\wp,℘
\mathbb{P},ℙ
\mathbb{Q},ℚ
\mathscr{R},ℛ
\mathfrak{R},ℜ
\mathbb{R},ℝ
\Elzxrat,℞
\texttrademark,™
\mathbb{Z},ℤ
\mho,℧
\mathfrak{Z},ℨ
\ElsevierGlyph{2129},℩
\mathscr{B},ℬ
\mathfrak{C},ℭ
\mathscr{e},ℯ
\mathscr{E},ℰ
\mathscr{F},ℱ
\mathscr{M},ℳ
\mathscr{o},ℴ
\aleph,ℵ
\beth,ℶ
\gimel,ℷ
\daleth,ℸ
\textfrac{1}{3},⅓
\textfrac{2}{3},⅔
\textfrac{1}{5},⅕
\textfrac{2}{5},⅖
\textfrac{3}{5},⅗
\textfrac{4}{5},⅘
\textfrac{1}{6},⅙
\textfrac{5}{6},⅚
\textfrac{1}{8},⅛
\textfrac{3}{8},⅜
\textfrac{5}{8},⅝
\textfrac{7}{8},⅞
\leftarrow,←
\uparrow,↑
\rightarrow,→
\downarrow,↓
\leftrightarrow,↔
\updownarrow,↕
\nwarrow,↖
\nearrow,↗
\searrow,↘
\swarrow,↙
\nleftarrow,↚
\nrightarrow,↛
\arrowwaveleft,↜
\arrowwaveright,↝
\twoheadleftarrow,↞
\twoheadrightarrow,↠
\leftarrowtail,↢
\rightarrowtail,↣
\mapsto,↦
\hookleftarrow,↩
\hookrightarrow,↪
\looparrowleft,↫
\looparrowright,↬
\leftrightsquigarrow,↭
\nleftrightarrow,↮
\Lsh,↰
\Rsh,↱
\ElsevierGlyph{21B3},↳
\curvearrowleft,↶
\curvearrowright,↷
\circlearrowleft,↺
\circlearrowright,↻
\leftharpoonup,↼
\leftharpoondown,↽
\upharpoonright,↾
\upharpoonleft,↿
\rightharpoonup,⇀
\rightharpoondown,⇁
\downharpoonright,⇂
\downharpoonleft,⇃
\rightleftarrows,⇄
\dblarrowupdown,⇅
\leftrightarrows,⇆
\leftleftarrows,⇇
